PublishDate,Source,Type,Title,Summary,Link
2025-02-28,Mitsubishi Electric-SCI,Company News,The second Fix It Air Con Training Center at Nakhon Lampang Technical College,"SCI has expanded educational opportunities in northern Thailand by contributing to the establishment of the second Fix It Air Con Training Center at Nakhon Lampang Technical College, Lampang Province. This center serves as a valuable learning resource for students and community members, providing training in air conditioning maintenance.",https://www.siamcompressor.com/siamcompressor/news-events?id=42&slug=the-second-fix-it-air-con-training-center-at-nakhon-lampang-technical-college&lang=en
2024-04-29,Mitsubishi Electric-SCI,Company News,Post-Event Recap: CRH 2024,"SCI joined CRH 2024 at the China International Exhibition Center in Beijing, China, held from April 8 to April 10, 2024. At this event, SCI showcased Mitsubishi Electric's cutting-edge compressor technology for air conditioning, heating, and refrigerating applications. Highlights included large-sized HVAC compressors designed for R290, R454B, and R32 refrigerants, as well as multi-refrigerant refrigeration compressors such as the AGK100 and DGW, capable of handling various refrigerants including R407H, R452A, R448A, and R449A.",https://www.siamcompressor.com/siamcompressor/news-events?id=37&slug=post-event-recap-crh-2024&lang=en
2024-03-24,Mitsubishi Electric-SCI,Company News,Join us at the CRH 2024,"The 35th international exhibition on refrigeration, air conditioning, and heating, CRH 2024, will be held in the China International Exhibition Center (Shunyi Hall), Beijing, from April 8 to 10, 2024. Don’t miss a chance to explore our most recent compressor technologies. Join us to experience the latest innovations in cooling and heating industries at Mitsubishi Electric's booth (booth no. E1F57).",https://www.siamcompressor.com/siamcompressor/news-events?id=36&slug=join-us-at-the-crh-2024&lang=en
2024-03-14,Mitsubishi Electric-SCI,Company News,Thanks For Joining Us At ACREX India 2024.,"A sincere thank you to our visitors at ACREX India 2024. SCI was honored to share product highlights at the Saferef booth, the high potential refrigeration distributor. The SCI showcase of the AGK multi-refrigerant inverter scroll compressor for CDU and the DPW R290 horizontal inverter scroll for the plug-in unit was made special by your engagement.",https://www.siamcompressor.com/siamcompressor/news-events?id=35&slug=thanks-for-joining-us-at-acrex-india-2024&lang=en
