PublishDate,Source,Type,Title,Summary,Link
2025-09-16,Honeywell,Company News,Honeywell Introduces Personal Shopper Technology to Reinvent the Shopping Experience in Europe,"Next-generation, self-service technology opens up new possibilities for shoppers and retailers, enabling quicker and smoother checkout processes and personalise...",https://www.honeywell.com/us/en/press/2025/09/honeywell-introduces-personal-shopper-technology-to-reinvent-the-shopping-experience-in-europe
2025-09-16,Honeywell,Company News,Honeywell Announces Pricing of Solstice Advanced Materials' Offering of Senior Notes in Connection with Planned Spin-Off,"Solstice has priced a private offering of $1 billion aggregate principal amount of senior notes due 2033 (the ""Notes"").",https://www.honeywell.com/us/en/press/2025/09/honeywell-announces-pricing-of-solstice-advanced-materials-offering-of-senior-notes-in-connection-with-planned-spin-off
2025-09-16,Honeywell,Company News,Honeywell Announces Launch of Solstice Advanced Materials' Offering of Senior Notes in Connection with Planned Spin-Off,"Honeywell announced that, in connection with the previously announced spin-off (the ""Spin-Off"") of Solstice Advanced Materials Inc. (""Solstice"") from Honeywell,...",https://www.honeywell.com/us/en/press/2025/09/honeywell-announces-launch-of-solstice-advanced-materials-offering-of-senior-notes-in-connection-with-planned-spin-off
