PublishDate,Source,Type,Title,Summary,Link
2025-09-12,CoolingPost-World,Industry News,Saudi Arabia joins Kigali pledge,SAUDI ARABIA: The Kingdom of Saudi Arabia has become the latest country to have officially accepted the Kigali Amendment to phase down HFCs.,https://www.coolingpost.com/world-news/saudi-arabia-joins-kigali-pledge/
2025-09-11,CoolingPost-World,Industry News,Worker dies in refrigerant plant leak,"INDIA: One person died and 12 were reportedly hospitalised on Wednesday (10 September) after a leak in a pipeline at the Gujarat Fluorochemicals refrigerant plant in Ranjitnagar, India.",https://www.coolingpost.com/world-news/worker-dies-in-refrigerant-plant-leak/
2025-09-11,CoolingPost-World,Industry News,Smardt Chillers in Indian data centre deal,"CANADA/INDIA: Montreal-based Smardt Chillers is to supply its oil-free centrifugal chillers to Indian company Shree Refrigerations, a leading player in cooling solutions serving the defence sector.",https://www.coolingpost.com/world-news/smardt-chillers-in-indian-data-centre-deal/
2025-09-10,CoolingPost-World,Industry News,Trane sounds the NYSE opening bell,USA: Trane Technologies has rung the New York Stock Exchange opening bell to celebrate its fifth year as an HVACR-focused company.,https://www.coolingpost.com/world-news/trane-sounds-the-nyse-opening-bell/
2025-09-10,CoolingPost-World,Industry News,Leak testing with oxygen caused heat pump blast,POLAND: Authorities in Opole have concluded that the heat pump explosion in Chrząstowice that killed two people last year was caused by using oxygen to carry out pressure tests.,https://www.coolingpost.com/world-news/leak-testing-with-oxygen-caused-heat-pump-blast/
2025-09-09,CoolingPost-World,Industry News,Ambienta acquires Bonera Refrigerazioni,"ITALY: Frigoveneta, the Verona-based commercial and industrial refrigeration contractor has acquired Bonera Refrigerazioni Srl, a family-owned company specialising in the design, installation, and after-sales servicing of industrial refrigeration systems.",https://www.coolingpost.com/world-news/ambienta-acquires-bonera-refrigerazioni/
2025-09-09,CoolingPost-World,Industry News,Pilot scheme to incentivise refrigerant recovery,USA: A new refrigerant recovery scheme in the District of Columbia aims to help contractors offset the costs of recovery equipment while also providing an additional revenue stream.,https://www.coolingpost.com/world-news/pilot-scheme-to-incentivise-refrigerant-recovery/
2025-09-07,CoolingPost-World,Industry News,ESEAC cuts peak demand and lowers energy bills,"USA: The integration of energy storage, cooling, and humidity control into a single commercial system has been developed by the US National Renewable Energy Laboratory and Blue Frontier.",https://www.coolingpost.com/world-news/eseac-cuts-peak-demand-and-lowers-energy-bills/
2025-09-07,CoolingPost-World,Industry News,200 jobs to go in Daikin heat pump restructure,"GERMANY: Daikin is to transfer hydrobox and hydrokit heat pump unit production from its plant in Güglingen, Germany, to the Czech Republic, with the loss of some 200 jobs.",https://www.coolingpost.com/world-news/200-jobs-to-go-in-daikin-heat-pump-restructure/
2025-09-06,CoolingPost-World,Industry News,Polish customs seize 42 tonnes of F-gas,"POLAND: Officers from Poland’s National Revenue Administration (KAS) have seized 42 tonnes of smuggled F-gas, valued at nearly €1m.",https://www.coolingpost.com/world-news/polish-customs-seize-42-tonnes-of-f-gas/
2025-09-06,CoolingPost-World,Industry News,Lennox RTU meets cold climate challenge,USA: Lennox is claiming that its commercial heat pump rooftop unit is the first to successfully complete the US Department of Energy’s cold climate challenge in the 15-25 tons category.,https://www.coolingpost.com/world-news/lennox-rtu-meets-cold-climate-challenge/
2025-09-04,CoolingPost-World,Industry News,Haier signs sponsorship deals with Liverpool and PSG,"CHINA: Haier has announced multi-year global partnerships in the world of professional football, signing sponsorship deals with UK Premier League champions Liverpool and all-conquering French team Paris Saint-Germain.",https://www.coolingpost.com/world-news/haier-signs-sponsorship-deals-with-liverpool-and-psg/
2025-09-04,CoolingPost-World,Industry News,Carrier undertakes HVAC battery test,USA: Carrier has launched the largest field trial in its 123-year history to test battery-enabled HVAC systems across the US.,https://www.coolingpost.com/world-news/carrier-undertakes-hvac-battery-test/
2025-09-04,CoolingPost-World,Industry News,Danfoss opens largest production facility in China,CHINA: Danish manufacturer Danfoss has inaugurated its largest global production facility in China.,https://www.coolingpost.com/world-news/danfoss-opens-largest-production-facility-in-china/
2025-09-11,CoolingPost-UK,Industry News,CTC partners with The Merchant’s Choice group,"UK: Go Geothermal, the UK distributor of CTC heat pumps, has announced a partnership with The Merchant’s Choice, a specialist buying group for plumbers’ merchants.",https://www.coolingpost.com/uk-news/ctc-partners-with-the-merchants-choice-group/
2025-09-10,CoolingPost-UK,Industry News,Improving service across London and the SE,UK: Wolseley brands Pipe Centre and Climate Centre have unveiled a new logistics model to improve customer service across London and the SE.,https://www.coolingpost.com/uk-news/improving-service-across-london-and-the-se/
