PublishDate,Source,Type,Title,Summary,Link
2025-09-09,CoolingPost-UK,Industry News,Samsung signs up service company HomeServe,"UK: Samsung Climate Solutions has announced a partnership with UK service and maintenance company, HomeServe, to grow its existing heat pump service and repair network.",https://www.coolingpost.com/uk-news/samsung-signs-up-service-company-homeserve/
2025-09-08,CoolingPost-UK,Industry News,Scheme to aid access to MCS certification,UK: EDF has partnered with Daikin UK with a scheme to help boost heat pump installs by enabling installers without MCS certification to access the Boiler Upgrade Scheme.,https://www.coolingpost.com/uk-news/scheme-to-aid-access-to-mcs-certification/
2025-09-04,CoolingPost-UK,Industry News,Eurovent and ETL align rooftop unit tests,UK/BELGIUM: Eurovent Certification testing standards for rooftop heat pump units have now been aligned with those of the UK’s Energy Technology List (ETL).,https://www.coolingpost.com/uk-news/eurovent-and-etl-align-rooftop-unit-tests/
2025-09-12,CoolingPost-Products,Industry News,Haier R32 VRF for the European market,ITALY: Haier HVAC Solutions Europe has announced a new R32 VRF system specifically tailored for the European market.,https://www.coolingpost.com/products/haier-r32-vrf-for-the-european-market/
2025-09-10,CoolingPost-Products,Industry News,Sanhua adds new sight glasses,SPAIN: Sanhua has introduced a new range of sight glasses engineered for high-pressure refrigerants.,https://www.coolingpost.com/products/sanhua-adds-new-sight-glasses/
2025-09-08,CoolingPost-Products,Industry News,Scalable data centre liquid cooling solution,UK: Johnson Controls has expanded its data centre thermal management offerings with the launch of the Silent-Aire coolant distribution unit (CDU) platform.,https://www.coolingpost.com/products/scalable-data-centre-liquid-cooling-solution/
2025-09-07,CoolingPost-Products,Industry News,Midea ATA heat pump built for Nordic homes,"GERMANY: Midea is to introduce an air-to-air heat pump for Nordic homes, which is said to produce reliable heating even at -40°C.",https://www.coolingpost.com/products/midea-ata-heat-pump-built-for-nordic-homes/
2025-09-05,CoolingPost-Products,Industry News,Panasonic Aquarea gets smarter with Tado,"UK: Panasonic has launched two new smart features which it says will make its Aquarea heat pumps cheaper to run, longer-lasting and easier to install.",https://www.coolingpost.com/products/panasonic-aquarea-gets-smarter-with-tado/
2025-09-04,CoolingPost-Products,Industry News,Aermec adds R290 heat pumps,ITALY: Aermec has added two new air-to-water heat pumps employing R290 refrigerant to its portfolio of sustainable commercial and industrial HVAC solutions.,https://www.coolingpost.com/products/aermec-adds-r290-heat-pumps/
2025-09-08,CoolingPost-T&E,Industry News,ASHRAE conference 2026 call for abstracts,"USA: ASHRAE has opened the call for abstracts for its 2026 Annual Conference, which will take place from June 27 to July 1, 2026, in Austin, Texas.",https://www.coolingpost.com/training/ashrae-conference-2026-call-for-abstracts/
